analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X11551.16,11551-16,Q9P0W2,HMG20B,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related,GCST90421542
X11556.19,11556-19,Q8N6T3,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1,GCST90421543
X11557.3,11557-3,Q9HCE7,SMURF1,E3 ubiquitin-protein ligase SMURF1,GCST90421544
X11560.76,11560-76,Q14934,NFATC4,"Nuclear factor of activated T-cells, cytoplasmic 4",GCST90421545
X11562.9,11562-9,P56282,POLE2,DNA polymerase epsilon subunit 2,GCST90421546
X11563.51,11563-51,Q96C24,SYTL4,Synaptotagmin-like protein 4:Ca2+-dependent membrane-targeting module 2,GCST90421547
X11565.58,11565-58,P17027,ZNF23,Zinc finger protein 23,GCST90421548
X11566.48,11566-48,Q14CN4,KRT72,"Keratin, type II cytoskeletal 72",GCST90421549
X11567.23,11567-23,P21506,ZNF10,Zinc finger protein 10,GCST90421550
X11568.2,11568-2,P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,GCST90421551
X11570.94,11570-94,Q9UHQ4,BCAP29,B-cell receptor-associated protein 29,GCST90421552
X11571.75,11571-75,Q07444,KLRC3,"NKG2-E type II integral membrane protein:Isoform E, Extracellular domain",GCST90421553
X11572.4,11572-4,P50570,DNM2,Dynamin-2,GCST90421554
X11573.3,11573-3,Q13247,SRSF6,Serine/arginine-rich splicing factor 6,GCST90421555
X11582.63,11582-63,O60884,DNAJA2,DnaJ homolog subfamily A member 2,GCST90421556
X11586.2,11586-2,Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1:Extracellular domain,GCST90421557
X11587.5,11587-5,Q8IWI9,MGA,MAX gene-associated protein,GCST90421558
X11590.5,11590-5,Q86U06,RBM23,Probable RNA-binding protein 23,GCST90421559
X11591.43,11591-43,O43663,PRC1,Protein regulator of cytokinesis 1,GCST90421560
X11592.1,11592-1,Q15717,ELAVL1,ELAV-like protein 1,GCST90421561
X11593.21,11593-21,Q07325,CXCL9,C-X-C motif chemokine 9,GCST90421562
X11596.47,11596-47,P51815,ZNF75D,Zinc finger protein 75D,GCST90421563
X11601.26,11601-26,Q14562,DHX8,ATP-dependent RNA helicase DHX8,GCST90421564
X11602.12,11602-12,Q99829,CPNE1,Copine-1:Von Willebrand factor type A domain,GCST90421565
X11606.22,11606-22,O75190,DNAJB6,DnaJ homolog subfamily B member 6,GCST90421566
X11607.15,11607-15,O95696,BRD1,Bromodomain-containing protein 1,GCST90421567
X11608.5,11608-5,Q9GZQ8,MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3B,GCST90421568
X11614.29,11614-29,P84090,ERH,Enhancer of rudimentary homolog,GCST90421569
X11615.16,11615-16,Q9UN19,DAPP1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,GCST90421570
X11616.9,11616-9,Q00613,HSF1,Heat shock factor protein 1,GCST90421571
X11617.1,11617-1,P20701,ITGAL,Integrin alpha-L,GCST90421572
X11618.83,11618-83,P10242,MYB,Transcriptional activator Myb,GCST90421573
X11626.7,11626-7,Q13404,UBE2V1,Ubiquitin-conjugating enzyme E2 variant 1,GCST90421574
X11629.36,11629-36,Q9BUZ4,TRAF4,TNF receptor-associated factor 4,GCST90421575
X11633.89,11633-89,O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,GCST90421576
X11634.32,11634-32,O43665,RGS10,Regulator of G-protein signaling 10,GCST90421577
X11636.33,11636-33,P37802,TAGLN2,Transgelin-2,GCST90421578
X11638.42,11638-42,O43825,B3GALT2,"Beta-1,3-galactosyltransferase 2",GCST90421579
X11643.73,11643-73,Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L,GCST90421580
X11645.9,11645-9,P13674,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,GCST90421581
X11646.4,11646-4,Q7L1S5,CHST9,Carbohydrate sulfotransferase 9,GCST90421582
X11647.6,11647-6,Q9ULW2,FZD10,Frizzled-10:Cytoplasmic domain,GCST90421583
X11649.3,11649-3,Q8IYB5,SMAP1,Stromal membrane-associated protein 1,GCST90421584
X11651.24,11651-24,Q9UL18,AGO1,Protein argonaute-1,GCST90421585
X11653.69,11653-69,P48067,SLC6A9,Sodium- and chloride-dependent glycine transporter 1,GCST90421586
X11654.77,11654-77,Q8IZ57,NRSN1,Neurensin-1,GCST90421587
X11656.110,11656-110,Q9UI08,EVL,Ena/VASP-like protein,GCST90421588
X11657.86,11657-86,O14512,SOCS7,Suppressor of cytokine signaling 7,GCST90421589
