gene,uniprot,oid,version,panel,synapse_id,filename
LEFTY2,O00292,OID21454,v1,Oncology,syn51495935,LEFTY2_O00292_OID21454_v1_Oncology.tar
LEG1,Q6P5S2,OID30608,v1,Inflammation_II,syn52355612,LEG1_Q6P5S2_OID30608_v1_Inflammation_II.tar
LELP1,Q5T871,OID30845,v1,Neurology_II,syn52356296,LELP1_Q5T871_OID30845_v1_Neurology_II.tar
LEO1,Q8WVC0,OID30991,v1,Neurology_II,syn52356070,LEO1_Q8WVC0_OID30991_v1_Neurology_II.tar
LEP,P41159,OID20187,v1,Cardiometabolic,syn51475986,LEP_P41159_OID20187_v1_Cardiometabolic.tar
LEPR,P48357,OID20128,v1,Cardiometabolic,syn51475851,LEPR_P48357_OID20128_v1_Cardiometabolic.tar
LETM1,O95202,OID31018,v1,Neurology_II,syn52331420,LETM1_O95202_OID31018_v1_Neurology_II.tar
LGALS1,P09382,OID20154,v1,Cardiometabolic,syn51482329,LGALS1_P09382_OID20154_v1_Cardiometabolic.tar
LGALS3,P17931,OID20284,v1,Cardiometabolic,syn51483400,LGALS3_P17931_OID20284_v1_Cardiometabolic.tar
LGALS3BP,Q08380,OID30765,v1,Inflammation_II,syn52359390,LGALS3BP_Q08380_OID30765_v1_Inflammation_II.tar
LGALS4,P56470,OID20748,v1,Inflammation,syn51477581,LGALS4_P56470_OID20748_v1_Inflammation.tar
LGALS7_LGALS7B,P47929,OID21406,v1,Oncology,syn51475804,LGALS7_LGALS7B_P47929_OID21406_v1_Oncology.tar
LGALS8,O00214,OID21041,v1,Neurology,syn51495911,LGALS8_O00214_OID21041_v1_Neurology.tar
LGALS9,O00182,OID20781,v1,Inflammation,syn51495990,LGALS9_O00182_OID20781_v1_Inflammation.tar
LGMN,Q99538,OID20773,v1,Inflammation,syn51476031,LGMN_Q99538_OID20773_v1_Inflammation.tar
LHB,P01229,OID21248,v1,Oncology,syn51496057,LHB_P01229_OID21248_v1_Oncology.tar
LHPP,Q9H008,OID20749,v1,Inflammation,syn51476576,LHPP_Q9H008_OID20749_v1_Inflammation.tar
LIF,P15018,OID20824,v1,Neurology,syn51475914,LIF_P15018_OID20824_v1_Neurology.tar
LIFR,P42702,OID20606,v1,Inflammation,syn51483097,LIFR_P42702_OID20606_v1_Inflammation.tar
LILRA2,Q8N149,OID21152,v1,Neurology,syn51489766,LILRA2_Q8N149_OID21152_v1_Neurology.tar
LILRA3,Q8N6C8,OID30376,v1,Cardiometabolic_II,syn52355512,LILRA3_Q8N6C8_OID30376_v1_Cardiometabolic_II.tar
LILRA4,P59901,OID30162,v1,Cardiometabolic_II,syn52355734,LILRA4_P59901_OID30162_v1_Cardiometabolic_II.tar
LILRA5,A6NI73,OID20209,v1,Cardiometabolic,syn51476019,LILRA5_A6NI73_OID20209_v1_Cardiometabolic.tar
LILRA6,Q6PI73,OID30346,v1,Cardiometabolic_II,syn52359276,LILRA6_Q6PI73_OID30346_v1_Cardiometabolic_II.tar
LILRB1,Q8NHL6,OID20323,v1,Cardiometabolic,syn51476395,LILRB1_Q8NHL6_OID20323_v1_Cardiometabolic.tar
LILRB2,Q8N423,OID20301,v1,Cardiometabolic,syn51475917,LILRB2_Q8N423_OID20301_v1_Cardiometabolic.tar
LILRB4,Q8NHJ6,OID20429,v1,Inflammation,syn51483108,LILRB4_Q8NHJ6_OID20429_v1_Inflammation.tar
LILRB5,O75023,OID20324,v1,Cardiometabolic,syn51476713,LILRB5_O75023_OID20324_v1_Cardiometabolic.tar
LIPF,P07098,OID30266,v1,Cardiometabolic_II,syn52331416,LIPF_P07098_OID30266_v1_Cardiometabolic_II.tar
