gene,uniprot,oid,version,panel,synapse_id,filename
DNPEP,Q9ULA0,OID31118,v1,Neurology_II,syn52362663,DNPEP_Q9ULA0_OID31118_v1_Neurology_II.tar
DNPH1,O43598,OID20744,v1,Inflammation,syn51470209,DNPH1_O43598_OID20744_v1_Inflammation.tar
DOC2B,Q14184,OID30927,v1,Neurology_II,syn52363462,DOC2B_Q14184_OID30927_v1_Neurology_II.tar
DOCK9,Q9BZ29,OID30836,v1,Neurology_II,syn52362373,DOCK9_Q9BZ29_OID30836_v1_Neurology_II.tar
DOK1,Q99704,OID31111,v1,Neurology_II,syn52361368,DOK1_Q99704_OID31111_v1_Neurology_II.tar
DOK2,O60496,OID20138,v1,Cardiometabolic,syn51469588,DOK2_O60496_OID20138_v1_Cardiometabolic.tar
DPEP1,P16444,OID20897,v1,Neurology,syn51470979,DPEP1_P16444_OID20897_v1_Neurology.tar
DPEP2,Q9H4A9,OID21305,v1,Oncology,syn51471389,DPEP2_Q9H4A9_OID21305_v1_Oncology.tar
DPP10,Q8N608,OID20527,v1,Inflammation,syn51468580,DPP10_Q8N608_OID20527_v1_Inflammation.tar
DPP4,P27487,OID20406,v1,Cardiometabolic,syn51469224,DPP4_P27487_OID20406_v1_Cardiometabolic.tar
DPP6,P42658,OID21354,v1,Oncology,syn51470502,DPP6_P42658_OID21354_v1_Oncology.tar
DPP7,Q9UHL4,OID20142,v1,Cardiometabolic,syn51469319,DPP7_Q9UHL4_OID20142_v1_Cardiometabolic.tar
DPT,Q07507,OID20278,v1,Cardiometabolic,syn51468438,DPT_Q07507_OID20278_v1_Cardiometabolic.tar
DPY30,Q9C005,OID21410,v1,Oncology,syn51471287,DPY30_Q9C005_OID21410_v1_Oncology.tar
